iter	Passed	Remaining
0	23	2285
1	35	1746
2	53	1723
3	65	1567
4	93	1774
5	120	1895
6	138	1844
7	156	1804
8	173	1751
9	196	1769
10	263	2135
11	301	2213
12	361	2418
13	405	2490
14	450	2555
15	486	2553
16	525	2567
17	544	2482
18	583	2487
19	606	2424
20	636	2395
21	649	2303
22	661	2215
23	717	2271
24	742	2226
25	781	2225
26	807	2182
27	829	2132
28	857	2100
29	883	2061
30	906	2018
31	953	2025
32	982	1995
33	1030	2000
34	1080	2006
35	1101	1958
36	1115	1899
37	1132	1848
38	1165	1823
39	1186	1779
40	1221	1758
41	1244	1718
42	1261	1672
43	1280	1630
44	1295	1582
45	1308	1536
46	1321	1489
47	1330	1441
48	1353	1409
49	1385	1385
50	1404	1349
51	1426	1317
52	1452	1288
53	1474	1256
54	1488	1217
55	1499	1178
56	1512	1140
57	1528	1106
58	1539	1070
59	1549	1032
60	1558	996
61	1570	962
62	1585	930
63	1592	895
64	1603	863
65	1615	832
66	1629	802
67	1642	772
68	1656	744
69	1669	715
70	1681	686
71	1694	659
72	1709	632
73	1725	606
74	1744	581
75	1765	557
76	1779	531
77	1792	505
78	1802	479
79	1810	452
80	1821	427
81	1841	404
82	1860	380
83	1871	356
84	1879	331
85	1888	307
86	1898	283
87	1919	261
88	1932	238
89	1951	216
90	1963	194
91	1980	172
92	1990	149
93	2000	127
94	2014	106
95	2027	84
96	2043	63
97	2061	42
98	2083	21
99	2092	0
